"y" "treat" "list.data" "age" "south" "male" "college" "democrat" "republican" "independent" "sensitive" "sens.data"
"392" 2 0 1 5.5 0 0 0 0 1 0 NA 0
"393" 2 0 1 3 0 0 1 0 0 1 NA 0
"395" 1 0 1 3.9 1 1 1 1 0 0 NA 0
"397" 2 0 1 1.9 0 0 1 0 1 0 NA 0
"398" 3 0 1 4.1 0 0 1 0 1 0 NA 0
"399" 2 1 1 5.2 0 1 1 0 0 1 NA 0
"401" NA NA 0 7.5 0 0 1 0 1 0 0 1
"403" NA NA 0 4.5 0 0 1 0 0 1 1 1
"405" 3 0 1 2.8 1 1 1 0 1 0 NA 0
"407" NA NA 0 3.7 0 0 1 0 0 0 1 1
"408" NA NA 0 2.3 0 1 1 0 1 0 0 1
"409" NA NA 0 2.4 0 0 1 0 0 1 1 1
"411" 1 0 1 3.7 0 1 1 1 0 0 NA 0
"413" 1 0 1 4.2 0 1 0 0 1 0 NA 0
"416" NA NA 0 8.1 0 0 1 1 0 0 0 1
"417" NA NA 0 2 0 0 1 1 0 0 0 1
"418" 2 1 1 5.3 0 0 1 0 1 0 NA 0
"422" NA NA 0 4 0 0 1 1 0 0 0 1
"423" 1 1 1 2.9 0 0 1 0 1 0 NA 0
"427" 1 0 1 3.3 0 0 1 0 1 0 NA 0
"434" 2 0 1 3.9 0 1 1 0 0 1 NA 0
"438" NA NA 0 3.4 0 0 1 0 1 0 1 1
"441" NA NA 0 6.5 1 0 0 1 0 0 0 1
"442" NA NA 0 2.4 0 1 0 0 0 1 0 1
"447" 2 1 1 3.7 0 1 0 1 0 0 NA 0
"451" NA NA 0 7.2 0 0 0 0 1 0 1 1
"458" 2 0 1 3 0 1 1 0 1 0 NA 0
"460" 3 1 1 6.6 0 0 1 0 1 0 NA 0
"461" 3 0 1 2 0 1 1 0 1 0 NA 0
"463" 2 0 1 3.5 0 0 1 1 0 0 NA 0
"465" NA NA 0 3.4 1 1 0 0 0 1 0 1
"471" 1 0 1 4.3 1 1 1 0 1 0 NA 0
"473" 2 0 1 6.8 1 0 0 1 0 0 NA 0
"474" 2 1 1 3.3 0 1 1 0 1 0 NA 0
"477" 1 0 1 3.1 1 1 1 0 1 0 NA 0
"478" 2 0 1 7.5 1 0 1 1 0 0 NA 0
"479" 4 1 1 2.7 1 1 0 0 0 1 NA 0
"480" NA NA 0 4.3 1 0 1 0 0 1 0 1
"488" NA NA 0 4.4 0 0 0 1 0 0 1 1
"494" 1 0 1 2.6 0 1 1 0 1 0 NA 0
"496" NA NA 0 3.5 0 1 0 0 1 0 1 1
"498" 3 1 1 3.4 0 0 1 1 0 0 NA 0
"500" 2 0 1 2.3 0 1 1 0 1 0 NA 0
"504" 2 0 1 6.3 0 1 1 0 0 1 NA 0
"505" 3 0 1 3.5 0 0 0 0 1 0 NA 0
"508" NA NA 0 7 0 0 0 1 0 0 0 1
"515" 2 1 1 6.5 0 0 0 1 0 0 NA 0
"518" 2 0 1 3.9 1 1 1 1 0 0 NA 0
"519" NA NA 0 4.5 0 0 1 1 0 0 0 1
"523" NA NA 0 5.8 1 0 0 0 1 0 0 1
"525" 2 0 1 3.4 0 0 0 0 1 0 NA 0
"526" 3 0 1 8.5 0 0 0 0 1 0 NA 0
"529" 1 0 1 7.6 0 0 1 1 0 0 NA 0
"530" NA NA 0 3.8 0 0 1 1 0 0 0 1
"533" NA NA 0 6.1 1 0 1 0 0 1 0 1
"535" NA NA 0 5.3 0 1 1 0 0 1 0 1
"537" NA NA 0 2.8 0 0 1 1 0 0 0 1
"540" 3 0 1 3.8 0 0 0 1 0 0 NA 0
"541" 3 1 1 5.6 0 0 0 0 0 1 NA 0
"542" 2 0 1 6.8 0 1 0 0 1 0 NA 0
"543" 1 0 1 3.1 0 1 1 0 1 0 NA 0
"544" 2 0 1 3.5 0 0 1 1 0 0 NA 0
"545" 3 1 1 3.8 0 0 1 0 1 0 NA 0
"549" NA NA 0 7.6 0 1 1 0 0 1 0 1
"552" 1 0 1 5.2 0 1 0 0 0 1 NA 0
"554" 1 0 1 4.1 0 1 1 0 0 1 NA 0
"557" 3 1 1 6 1 1 0 0 1 0 NA 0
"561" NA NA 0 3.4 0 1 0 1 0 0 0 1
"563" 3 1 1 6.9 0 1 1 0 0 1 NA 0
"566" 2 1 1 2.7 0 0 0 1 0 0 NA 0
"569" 1 0 1 2.3 0 1 1 0 0 1 NA 0
"574" 2 0 1 2.1 0 1 1 0 1 0 NA 0
"576" 3 1 1 2.9 0 0 1 0 0 1 NA 0
"577" 3 1 1 2 0 0 1 0 0 1 NA 0
"579" 4 1 1 3.8 0 0 1 0 1 0 NA 0
"580" NA NA 0 2.7 0 0 0 0 0 1 1 1
"581" 4 1 1 3.6 0 1 1 1 0 0 NA 0
"582" 2 1 1 5.6 1 0 0 0 0 1 NA 0
"583" 2 1 1 2 0 1 1 0 1 0 NA 0
"592" 2 0 1 5.7 0 1 1 0 0 1 NA 0
"593" 1 0 1 4.1 0 1 1 0 0 1 NA 0
"594" 2 1 1 5.8 0 0 0 0 0 1 NA 0
"597" 4 1 1 3 1 1 0 0 0 1 NA 0
"599" NA NA 0 4.8 1 1 1 1 0 0 0 1
"600" 1 1 1 2.9 1 0 1 0 1 0 NA 0
"601" 3 0 1 3.7 1 1 0 0 0 1 NA 0
"602" NA NA 0 6.2 1 1 0 1 0 0 0 1
"604" NA NA 0 4.2 0 1 1 0 0 1 0 1
"605" 4 1 1 3.3 0 1 1 0 0 1 NA 0
"606" NA NA 0 6.3 0 1 1 0 1 0 0 1
"610" 1 0 1 4.4 0 1 1 0 0 1 NA 0
"615" NA NA 0 3.3 0 1 0 0 1 0 0 1
"620" NA NA 0 2.8 0 1 0 0 0 1 1 1
"621" NA NA 0 4 0 1 1 1 0 0 0 1
"623" NA NA 0 3.3 0 0 0 0 0 0 0 1
"624" 2 0 1 4 0 0 1 0 0 0 NA 0
"629" NA NA 0 7.1 1 1 0 1 0 0 0 1
"633" 1 0 1 4.4 1 1 1 1 0 0 NA 0
"635" 3 0 1 5.2 0 0 0 0 0 0 NA 0
"636" NA NA 0 6.8 0 1 1 0 1 0 1 1
"639" NA NA 0 6.6 0 0 1 0 0 1 0 1
"640" NA NA 0 2 0 1 1 0 1 0 0 1
"641" 4 1 1 6.3 0 0 0 0 1 0 NA 0
"644" NA NA 0 5 0 1 1 0 0 1 1 1
"645" NA NA 0 4 0 1 1 0 0 1 1 1
"647" 2 1 1 4 0 0 1 1 0 0 NA 0
"648" 3 0 1 5 1 1 0 0 0 1 NA 0
"650" 1 1 1 4.7 0 1 1 0 1 0 NA 0
"654" 2 1 1 4.1 0 0 1 0 0 1 NA 0
"655" 3 0 1 3.1 0 1 1 0 0 1 NA 0
"656" 3 0 1 6 0 1 1 0 0 1 NA 0
"658" NA NA 0 2 0 0 1 0 0 1 0 1
"659" 3 1 1 8.1 1 0 1 1 0 0 NA 0
"661" 3 0 1 3.2 0 0 1 0 0 1 NA 0
"664" 3 0 1 6.3 0 0 0 1 0 0 NA 0
"665" 3 0 1 2.4 0 0 1 1 0 0 NA 0
"666" 2 0 1 5.6 1 1 1 0 0 1 NA 0
"667" 4 0 1 2.5 0 0 1 0 0 1 NA 0
"669" NA NA 0 4.6 0 0 1 0 1 0 1 1
"671" 1 0 1 4.1 0 0 1 1 0 0 NA 0
"672" 1 0 1 2.3 0 1 0 0 0 1 NA 0
"674" 1 0 1 4.5 0 0 1 0 0 1 NA 0
"677" 2 1 1 5.7 1 1 1 0 0 1 NA 0
"678" NA NA 0 6.3 0 0 1 0 1 0 1 1
"679" 4 1 1 2.7 0 1 0 0 0 1 NA 0
"680" 5 1 1 5.2 0 0 0 0 1 0 NA 0
"681" 2 1 1 3.5 0 1 1 0 1 0 NA 0
"682" 3 1 1 6 0 1 1 0 1 0 NA 0
"684" 3 1 1 9.4 0 0 1 0 1 0 NA 0
"687" NA NA 0 5.7 1 1 1 0 0 1 1 1
"690" 1 0 1 4.8 1 0 1 0 0 1 NA 0
"693" 3 1 1 3.6 0 1 0 0 0 1 NA 0
"694" NA NA 0 3.7 0 1 1 0 0 1 0 1
"695" 4 1 1 2.6 0 1 0 0 1 0 NA 0
"696" 3 1 1 2.6 0 0 1 0 0 1 NA 0
"698" 4 1 1 5.4 0 1 1 0 1 0 NA 0
"699" 3 1 1 3.4 0 1 0 0 0 1 NA 0
"700" 1 0 1 3.7 1 1 1 0 1 0 NA 0
"703" NA NA 0 1.8 1 1 0 0 1 0 1 1
"704" NA NA 0 6.8 0 1 0 0 0 1 0 1
"706" NA NA 0 2 1 0 1 1 0 0 0 1
"707" NA NA 0 7.3 1 0 0 1 0 0 0 1
"709" NA NA 0 3.9 0 1 1 1 0 0 1 1
"711" 2 0 1 3.4 0 0 1 1 0 0 NA 0
"712" 2 0 1 5.1 0 0 1 0 0 1 NA 0
"714" 2 1 1 7.9 0 0 1 1 0 0 NA 0
"717" NA NA 0 5.3 0 1 1 0 1 0 1 1
"719" 2 0 1 3.4 1 1 1 1 0 0 NA 0
"720" 3 1 1 2 1 1 0 0 0 1 NA 0
"723" 4 1 1 5.7 1 1 1 0 1 0 NA 0
"724" NA NA 0 4 1 0 1 0 1 0 1 1
"725" NA NA 0 4.6 0 0 0 0 0 1 1 1
"727" 1 0 1 3 0 1 1 0 1 0 NA 0
"728" 2 1 1 1.8 0 0 0 0 0 1 NA 0
"729" 3 0 1 5.9 0 0 0 0 1 0 NA 0
"730" NA NA 0 7 0 0 1 0 1 0 0 1
"732" NA NA 0 3.9 1 1 1 0 0 1 1 1
"733" 2 0 1 6.5 1 0 0 0 0 1 NA 0
"735" 3 1 1 3.1 1 0 1 1 0 0 NA 0
"736" 2 0 1 6 0 1 0 1 0 0 NA 0
"737" 3 1 1 5.9 0 1 0 0 0 1 NA 0
"738" 2 0 1 1.8 0 1 0 0 0 0 NA 0
"739" 2 1 1 4.3 0 0 1 0 0 0 NA 0
"741" 3 0 1 5.1 0 0 1 0 1 0 NA 0
"743" NA NA 0 1.9 0 1 0 1 0 0 0 1
"744" NA NA 0 4.7 0 0 1 1 0 0 0 1
"745" NA NA 0 3.2 0 1 1 0 0 1 0 1
"751" 3 0 1 7 0 0 1 0 0 1 NA 0
"753" NA NA 0 7.1 0 0 0 0 1 0 0 1
"757" NA NA 0 5.1 0 0 1 1 0 0 0 1
"758" 4 1 1 3.8 0 1 0 1 0 0 NA 0
"762" 4 1 1 3.7 0 1 0 0 0 1 NA 0
"763" 4 1 1 3.7 0 1 1 0 0 0 NA 0
"767" NA NA 0 4.7 0 0 1 0 0 1 0 1
"769" 1 0 1 2.1 1 1 0 0 1 0 NA 0
"776" NA NA 0 7.4 0 1 1 0 0 0 0 1
"780" 2 0 1 5.9 0 0 0 1 0 0 NA 0
"787" 1 1 1 3.1 0 1 1 0 1 0 NA 0
"790" 2 0 1 5.5 0 0 1 1 0 0 NA 0
"791" 3 1 1 3.4 0 1 1 0 1 0 NA 0
"792" 2 0 1 6 0 0 1 0 0 1 NA 0
"795" 1 1 1 2.5 0 1 0 0 0 1 NA 0
"797" NA NA 0 4.6 0 0 1 0 0 1 1 1
"799" 0 1 1 4.4 0 1 1 0 0 1 NA 0
"800" 2 0 1 5.3 0 1 1 1 0 0 NA 0
"802" NA NA 0 3.4 0 0 0 0 0 1 0 1
"803" 3 0 1 5.5 0 0 1 0 0 0 NA 0
"806" 2 0 1 3.7 0 0 0 1 0 0 NA 0
"809" 3 1 1 5 0 1 1 0 0 1 NA 0
"810" 3 1 1 4.8 0 1 1 0 0 1 NA 0
"811" 2 1 1 3.8 0 1 0 1 0 0 NA 0
"819" 3 0 1 5.9 1 0 0 0 0 1 NA 0
"820" NA NA 0 3.8 0 0 1 0 0 0 0 1
"821" 2 1 1 2.5 0 0 1 0 1 0 NA 0
"822" NA NA 0 2.8 0 0 1 0 1 0 1 1
"827" 3 1 1 3.7 0 0 0 0 0 1 NA 0
"828" 3 0 1 3.5 0 0 0 0 0 1 NA 0
"830" 3 1 1 5.3 0 0 0 1 0 0 NA 0
"831" NA NA 0 5.8 0 1 1 0 1 0 1 1
"832" 3 0 1 4.2 0 1 0 1 0 0 NA 0
"834" 3 0 1 6.9 0 1 1 1 0 0 NA 0
"835" NA NA 0 7.6 0 1 0 1 0 0 0 1
"837" 3 0 1 2.4 0 1 1 0 1 0 NA 0
"839" 3 1 1 4.2 0 0 1 0 1 0 NA 0
"842" NA NA 0 5.6 1 0 1 0 0 1 1 1
"845" NA NA 0 4.6 1 0 1 0 0 1 1 1
"849" NA NA 0 3.7 1 0 1 1 0 0 0 1
"850" 3 1 1 2.7 0 0 0 0 1 0 NA 0
"851" 4 1 1 2.5 0 0 1 1 0 0 NA 0
"854" NA NA 0 6.9 1 0 1 1 0 0 0 1
"856" 3 1 1 5.7 0 1 0 1 0 0 NA 0
"860" 3 0 1 4.3 0 0 0 0 0 0 NA 0
"861" 2 1 1 6 0 1 1 0 1 0 NA 0
"863" 2 1 1 2.7 0 0 1 1 0 0 NA 0
"866" 3 1 1 4.2 0 0 0 0 0 1 NA 0
"867" 2 0 1 6.8 0 1 1 0 1 0 NA 0
"868" 3 0 1 4.3 0 1 0 0 1 0 NA 0
"871" 4 0 1 3.4 0 1 0 0 0 1 NA 0
"872" 2 0 1 7.8 0 0 1 0 1 0 NA 0
"873" NA NA 0 4.1 0 1 1 0 0 1 1 1
"874" 2 1 1 5.5 0 0 0 0 0 1 NA 0
"877" 2 1 1 6.8 0 0 1 0 0 1 NA 0
"880" 4 1 1 4.9 0 1 1 0 0 1 NA 0
"883" 2 1 1 4.2 0 1 1 0 1 0 NA 0
"884" NA NA 0 4.4 0 1 1 0 0 1 0 1
"885" NA NA 0 1.9 1 1 1 0 1 0 0 1
"886" NA NA 0 5.3 1 1 0 0 0 1 0 1
"887" 3 1 1 2.3 1 1 1 1 0 0 NA 0
"889" NA NA 0 4.8 0 0 1 1 0 0 0 1
"890" NA NA 0 3.4 0 0 1 0 1 0 1 1
"891" 2 0 1 3.3 0 1 1 0 1 0 NA 0
"892" 2 1 1 3.8 0 1 1 0 0 1 NA 0
"893" 3 1 1 6.1 0 1 1 0 1 0 NA 0
"894" 2 0 1 6.5 0 1 0 0 0 1 NA 0
"895" NA NA 0 5.1 0 0 1 1 0 0 1 1
"897" 2 1 1 2.8 0 0 0 1 0 0 NA 0
"898" 2 1 1 3.3 0 0 1 1 0 0 NA 0
"900" 3 1 1 3.8 0 0 1 1 0 0 NA 0
"903" 2 1 1 3.4 0 1 0 0 0 1 NA 0
"905" NA NA 0 2.6 1 0 1 0 0 1 1 1
"906" 3 1 1 2.3 1 0 0 0 1 0 NA 0
"909" 2 0 1 2.2 0 0 1 0 1 0 NA 0
"910" 2 0 1 3.8 0 0 1 1 0 0 NA 0
"911" 2 0 1 4.9 0 1 1 0 1 0 NA 0
"912" NA NA 0 3.7 0 1 1 0 1 0 0 1
"913" 2 0 1 2.5 0 0 1 1 0 0 NA 0
"915" NA NA 0 2.6 0 1 1 0 1 0 0 1
"916" 4 1 1 7.2 0 1 0 1 0 0 NA 0
"917" 3 0 1 5.2 0 1 0 1 0 0 NA 0
"920" 1 0 1 4.6 0 0 1 0 1 0 NA 0
"923" 2 0 1 4 0 1 1 1 0 0 NA 0
"925" 4 1 1 5.1 0 0 0 0 0 1 NA 0
"926" 2 0 1 3.2 0 0 0 1 0 0 NA 0
"930" 3 0 1 1.8 0 0 0 0 0 1 NA 0
"931" 1 0 1 7.6 0 1 1 1 0 0 NA 0
"932" 1 0 1 3.6 0 0 1 1 0 0 NA 0
"934" NA NA 0 3.8 0 1 1 0 1 0 1 1
"936" NA NA 0 6.4 0 0 1 0 1 0 0 1
"937" 3 1 1 2.1 0 1 1 0 0 0 NA 0
"938" 2 0 1 2.3 0 0 1 0 1 0 NA 0
"939" 2 1 1 5.1 1 0 1 0 1 0 NA 0
"940" 4 1 1 5.9 1 0 1 0 0 1 NA 0
"941" NA NA 0 3.7 1 0 0 0 0 1 1 1
"952" NA NA 0 5.3 0 1 1 0 0 1 0 1
"953" NA NA 0 2.9 0 1 1 0 0 1 0 1
"954" 2 0 1 5.9 0 1 1 0 0 1 NA 0
"956" NA NA 0 3.2 0 0 0 1 0 0 0 1
"961" 3 1 1 3.7 0 0 0 0 0 1 NA 0
"967" NA NA 0 4.7 0 1 1 0 0 1 1 1
"968" 3 0 1 3 1 0 1 0 0 1 NA 0
"969" 4 1 1 5.5 1 0 1 0 1 0 NA 0
"970" 3 1 1 2.4 1 1 1 0 1 0 NA 0
"971" 4 1 1 6.2 0 0 0 1 0 0 NA 0
"972" 5 1 1 5.9 0 1 0 1 0 0 NA 0
"975" 1 1 1 3.4 0 0 1 1 0 0 NA 0
"976" NA NA 0 3 1 1 1 0 1 0 1 1
"980" NA NA 0 6.2 1 0 0 1 0 0 1 1
"981" NA NA 0 6.5 1 1 0 0 0 1 0 1
