"y" "treat" "age" "south" "male" "college"
"209" 1 2 4.4 0 1 1
"210" 2 0 2.6 0 1 1
"211" 2 0 3.8 0 0 1
"212" 2 1 1.8 1 0 0
"213" 3 2 3.5 1 0 1
"217" 2 0 3.3 0 1 0
"218" 2 1 4.6 0 0 0
"219" 3 0 5.4 1 0 0
"220" 3 2 8.9 1 0 0
"221" 1 1 3.6 1 0 1
"222" 4 2 6.9 1 0 0
"225" 1 1 2.1 0 0 1
"226" 1 0 8.2 0 0 0
"228" 2 0 2.7 0 1 1
"231" 2 0 2.4 0 0 1
"232" 3 2 5 0 1 1
"233" 2 1 2.7 0 1 1
"234" 2 0 5.6 0 0 0
"235" 2 1 6.1 0 0 0
"237" 3 1 3.5 0 0 0
"238" 4 2 3.5 0 1 0
"239" 1 0 2 0 0 1
"240" 2 0 4.5 0 1 1
"241" 3 0 3.5 0 1 0
"242" 1 0 3.1 0 0 1
"244" 3 2 2.7 0 1 0
"245" 1 0 3.4 1 0 1
"247" 1 0 4.6 1 1 0
"248" 3 1 2.8 1 1 1
"249" 4 1 3.3 1 0 0
"250" 3 2 6.2 1 0 1
"252" 2 1 4.8 0 1 1
"253" 2 0 2.2 1 0 0
"254" 3 0 2.6 1 1 1
"255" 2 2 7.4 1 0 1
"256" 1 0 3.9 1 1 1
"259" 2 1 2.1 0 1 0
"260" 1 0 3.1 0 1 1
"261" 2 0 6.6 0 0 0
"262" 2 2 4.2 0 1 1
"264" 1 0 1.9 0 1 0
"265" 3 2 7.2 0 0 0
"268" 3 2 1.9 0 1 0
"269" 2 2 4.1 0 1 1
"270" 3 1 4.5 0 0 1
"271" 2 0 7.6 0 0 0
"272" 3 2 1.9 0 0 0
"274" 1 1 1.8 0 0 0
"275" 0 1 5.1 0 1 1
"276" 1 2 3.8 0 0 1
"277" 2 2 2.1 0 1 0
"280" 2 1 6.7 0 0 0
"281" 2 2 2.2 1 1 1
"284" 2 2 2.3 1 1 1
"286" 3 2 3.2 0 1 0
"287" 2 2 2.9 0 0 1
"288" 2 0 2.7 0 0 1
"289" 3 2 3 1 0 0
"290" 2 0 7.6 1 1 0
"291" 2 1 7.8 1 0 1
"293" 3 0 6.9 0 0 0
"294" 4 1 2.3 0 0 1
"295" 3 1 5 0 0 0
"296" 2 0 5.2 0 0 1
"297" 3 0 6.8 0 0 0
"298" 2 1 6.2 0 0 0
"299" 3 1 2.6 0 0 1
"300" 3 1 5.5 0 0 0
"302" 2 2 3.5 0 0 0
"303" 2 0 2.8 0 0 1
"304" 2 0 2.9 0 0 1
"305" 3 1 7.3 0 1 0
"306" 1 0 3.9 0 0 1
"308" 3 2 5 0 0 0
"310" 2 2 4.8 0 0 1
"312" 1 0 7.8 0 0 0
"315" 1 1 3.5 1 0 0
"318" 3 0 4.5 0 1 1
"319" 2 1 2.2 0 0 1
"320" 1 1 3.2 1 0 1
"322" 1 0 6.5 1 1 1
"323" 1 2 3 0 0 1
"325" 2 2 3.1 0 1 0
"326" 0 2 6.6 0 1 1
"327" 1 1 2.2 0 0 0
"328" 3 1 4.7 0 1 1
"329" 2 2 4.9 0 0 1
"330" 2 1 3.4 0 1 0
"331" 2 1 2.9 0 1 0
"334" 2 0 5.5 0 0 0
"335" 3 2 2.7 0 1 1
"336" 2 2 4.2 0 1 1
"337" 2 2 4.7 0 1 1
"338" 3 0 4.6 0 0 1
"339" 3 2 4.2 0 0 1
"340" 4 2 3.7 0 0 1
"341" 4 2 6.4 1 1 0
"342" 2 1 2.8 1 1 0
"343" 4 2 3.4 0 0 0
"344" 1 2 2.5 0 0 1
"345" 3 0 5.4 0 1 0
"346" 4 2 5.4 0 0 0
"347" 1 2 5.9 1 0 0
"348" 1 0 3.4 1 0 1
"349" 2 0 4.1 1 0 0
"350" 1 0 4.1 0 0 1
"351" 2 0 3.7 0 0 1
"352" 4 2 5.2 0 0 0
"353" 3 2 4.2 0 1 0
"354" 3 1 3.4 0 1 1
"355" 3 0 3.2 0 0 0
"358" 3 2 2.9 0 1 1
"359" 1 1 8.4 0 1 1
"360" 3 0 6.7 0 0 1
"361" 4 2 6.2 0 0 0
"364" 3 1 4.7 0 0 0
"365" 2 1 5.6 0 0 0
"366" 3 0 4.4 0 0 0
"367" 3 0 2.4 0 0 1
"368" 3 0 2.8 0 0 1
"369" 2 2 2.5 0 0 0
"370" 2 1 2.7 0 1 1
"371" 4 2 4.9 0 1 1
"375" 2 1 3.7 0 0 1
"376" 2 2 2.8 0 0 1
"377" 4 2 7.4 1 0 0
"378" 1 0 6.5 1 0 1
"379" 1 1 5 0 0 1
"381" 1 1 3 1 0 1
"382" 3 2 3.5 1 0 0
"383" 3 2 4.9 1 0 1
"384" 3 0 3.1 1 1 1
"386" 2 0 7.4 0 0 0
"388" 2 0 3 0 1 1
"390" 1 0 3.7 0 0 1
"391" 2 0 4.4 0 0 1
"392" 4 2 3.1 0 1 0
"393" 1 1 2.1 0 1 0
"396" 2 0 3.3 0 0 1
"397" 3 1 3.2 0 1 0
"398" 2 0 6.9 0 0 1
"399" 2 1 4.8 0 0 1
"400" 3 0 4.3 0 1 1
"401" 1 0 4.2 0 0 1
"402" 3 2 2.9 0 1 1
"403" 3 0 4.6 0 1 1
"405" 1 1 4.4 0 1 1
"406" 3 0 5.3 0 1 1
"407" 2 0 5 0 0 0
"408" 2 0 4.1 1 1 1
"409" 1 2 2 1 1 1
"412" 2 2 2.4 0 1 0
"413" 2 2 3.1 0 0 0
"415" 2 2 5.4 1 0 0
"416" 1 2 4.2 1 1 1
"417" 1 0 3.7 1 1 1
"419" 1 2 3.3 0 1 1
"420" 1 2 2.9 1 1 1
"421" 4 2 3 0 0 0
"422" 1 1 2.8 0 1 1
"423" 1 2 6.2 0 0 0
"424" 3 2 3.9 0 1 0
"425" 1 1 2.7 0 1 1
"426" 3 0 3.5 0 0 1
"427" 3 0 2.9 0 0 1
"428" 3 0 3 0 0 0
"429" 3 0 6 0 0 1
"430" 2 0 2.8 0 1 1
"431" 2 2 3.9 0 1 0
"432" 3 2 5.1 0 0 1
"433" 3 1 6.6 0 0 0
"434" 1 2 5.1 0 1 1
"435" 2 1 4.1 0 0 1
"436" 3 2 4.1 0 0 1
"437" 3 1 2.4 0 1 1
"438" 1 1 4.2 0 1 1
"439" 1 0 3.1 0 0 1
"441" 2 1 2.2 1 1 1
"442" 1 1 2.8 1 1 1
"443" 3 2 3.6 1 1 0
"444" 3 2 3.8 1 0 0
"445" 2 0 7.5 1 1 1
"446" 2 2 4.4 0 0 1
"447" 3 2 4.1 0 1 0
"448" 3 2 5 0 0 1
"449" 3 0 5.6 0 0 0
"450" 1 0 2.9 1 0 1
"451" 2 1 2.6 1 0 0
"453" 4 2 3.2 1 1 1
"454" 3 1 2.5 1 1 0
"455" 2 1 4.4 1 0 0
"456" 3 2 6.9 1 1 1
"457" 3 2 3.3 0 1 1
"460" 1 0 6.2 1 1 1
"461" 2 2 3.7 0 1 1
"464" 3 1 5.1 0 0 0
"466" 2 0 3 0 0 0
"467" 1 1 3.2 0 1 0
"468" 2 0 2.1 0 0 1
"469" 3 1 3 0 0 0
"470" 2 2 2.6 0 0 0
"471" 2 1 3.3 0 0 1
"472" 4 2 2.7 0 0 0
"473" 1 2 3 0 1 1
"474" 3 2 4.7 0 0 1
"475" 2 1 2.4 0 0 0
"476" 3 1 6 0 0 0
"477" 3 1 2 0 0 0
"478" 3 2 5.3 0 1 0
"480" 3 0 3.3 0 0 0
"481" 2 0 6.8 0 1 0
"482" 2 2 3.1 0 1 0
"483" 2 2 9.4 0 1 0
"484" 3 1 2.7 0 1 1
"485" 1 2 3.8 0 1 0
"487" 3 1 2.3 0 0 1
"488" 1 1 6.8 1 1 1
"489" 3 0 2.2 1 0 1
"490" 2 2 2.4 1 0 0
"491" 1 0 3.7 1 0 1
"493" 3 2 6.8 0 1 0
"494" 1 0 5.2 0 0 1
"495" 3 0 2.6 1 0 1
"496" 2 1 5.8 1 1 0
"498" 1 0 3.3 1 1 1
"500" 2 1 2.4 0 1 1
"501" 2 1 4.4 0 0 1
"502" 0 1 6.6 0 1 0
"503" 3 0 2.5 0 1 0
"504" 2 1 4.4 0 0 0
"507" 4 2 2.6 0 1 0
"508" 3 2 3.7 0 0 0
"509" 2 1 2 0 1 0
"510" 3 2 5.9 0 0 0
"511" 3 1 5.2 0 0 1
"512" 4 1 6.6 0 1 0
"513" 2 1 3.1 0 0 1
"514" 4 1 6.7 0 0 1
"515" 3 1 3.4 0 0 0
"516" 3 1 4.9 0 0 1
"517" 2 1 4.5 0 0 1
"518" 2 2 5.8 1 0 1
"519" 2 1 3.5 1 0 1
"520" 3 1 2.3 1 0 1
"521" 2 2 4.3 0 1 1
"522" 1 0 5.8 1 0 1
"523" 2 1 4.1 1 1 1
"524" 0 1 5.5 1 1 1
"525" 1 0 6.8 1 1 1
"526" 2 2 2.4 0 1 1
"528" 2 0 4.8 1 1 1
"529" 2 2 2.2 0 1 0
"530" 2 2 6.5 0 0 1
"531" 2 2 4.2 0 0 1
"532" 3 1 3.1 0 0 1
"533" 2 0 3.4 0 1 1
"534" 2 2 3.8 0 1 1
"535" 2 0 6.5 0 1 0
"536" 3 0 4.5 0 1 0
"537" 3 0 5.1 0 0 1
"539" 2 0 4.9 0 1 1
"540" 2 2 2.8 0 0 1
"541" 2 1 3.7 0 1 1
"542" 4 2 2.6 0 1 1
"543" 3 0 3.2 0 1 1
"544" 3 2 3.2 0 0 1
"545" 1 0 5 0 0 0
"546" 2 1 3.9 0 1 1
"547" 1 2 3 0 1 1
"548" 2 1 6.4 0 1 1
"549" 3 1 3.6 0 1 0
"550" 1 1 2.4 0 1 1
"551" 2 1 4.5 1 1 1
"552" 2 0 4.8 1 0 0
"553" 3 2 3.4 1 1 0
"554" 3 2 4.3 0 0 0
"556" 1 0 3.4 1 1 1
"557" 2 0 4 1 1 0
"558" 4 2 4.6 1 0 0
"560" 2 1 3.6 1 0 0
"561" 3 1 7.1 0 0 0
"562" 4 2 4.3 0 1 1
"563" 2 1 4.6 0 1 1
"565" 4 2 5.3 0 0 0
"566" 2 0 3.9 0 0 1
"567" 1 1 3.6 0 0 1
"568" 3 1 2.8 0 1 1
"569" 2 0 4.4 0 1 1
"570" 3 2 4.6 0 0 1
"572" 1 0 7.5 0 0 1
"573" 3 1 2.4 0 0 0
"575" 2 1 3.3 0 1 1
"577" 2 2 1.8 0 1 0
"578" 2 2 4.1 0 0 1
"584" 4 2 7.8 1 1 0
"586" 1 1 6.6 0 0 1
"587" 2 2 3.1 0 1 0
"589" 1 0 6.3 1 1 0
"590" 2 2 3.9 1 1 1
"591" 2 0 4.3 1 0 1
"594" 2 1 4.7 0 0 1
"595" 1 1 2.1 0 0 1
"596" 3 0 3.3 0 1 0
"597" 0 0 2.6 0 1 1
"598" 0 1 2.3 0 1 1
"599" 2 2 4.3 0 1 1
"601" 2 0 2.2 0 1 0
"602" 1 1 4 0 0 1
"603" 3 1 4.1 0 1 1
"604" 1 1 3.9 0 1 1
"605" 2 0 4 0 0 1
"606" 3 0 2.8 0 0 1
"607" 3 2 3.6 0 0 0
"608" 3 0 8.8 0 0 0
"609" 2 1 4.3 0 0 1
"610" 3 2 3.4 0 0 1
"611" 1 0 4.9 0 0 1
"612" 4 1 7.9 0 0 1
"613" 2 0 5 0 0 0
"614" 2 2 3 0 0 0
"616" 4 1 6.5 1 0 1
"617" 3 2 5.6 0 0 1
"618" 2 1 2.5 1 1 0
"619" 3 1 2.6 1 1 0
"622" 1 0 1.9 1 1 0
"624" 1 0 1.9 1 1 1
"625" 4 2 8.3 0 0 0
"626" 3 1 5.1 0 1 1
"627" 2 1 4.1 0 0 1
"629" 2 2 2.8 0 0 0
"631" 1 1 3.9 0 1 1
"632" 3 0 4.9 0 0 0
"633" 1 0 4 0 0 1
"634" 3 1 2.3 0 0 1
"636" 3 1 3.9 0 0 0
"637" 2 2 4.2 0 1 1
"638" 3 1 4.2 0 1 0
"639" 2 1 3.4 0 0 1
"640" 2 0 3.4 0 0 0
"641" 2 2 5.4 0 1 1
"642" 1 1 5.1 0 0 1
"643" 1 1 2.8 0 1 1
"644" 1 0 3.8 0 0 0
"645" 3 2 4.7 0 1 1
"646" 3 0 6.3 1 0 0
"647" 2 0 2.9 1 1 1
"648" 1 0 2.4 1 1 1
"649" 4 2 2.3 1 0 1
"650" 1 1 3.6 1 0 0
"651" 2 0 6.7 0 1 0
"652" 1 2 3.6 0 0 0
"653" 2 2 2.2 1 1 1
"654" 3 0 3.9 1 1 0
"655" 2 0 4.6 1 1 1
"656" 1 1 3.4 1 1 1
"659" 2 1 3.6 0 0 1
"660" 3 1 4 0 1 1
"661" 3 1 4.3 0 0 1
"662" 1 0 5.3 0 1 0
"663" 3 1 3.2 0 1 0
"664" 3 0 5.5 0 0 0
"665" 2 0 3.1 0 0 0
"666" 3 1 4.1 0 1 1
"667" 1 1 4.5 0 1 1
"669" 4 2 7.8 0 0 0
"670" 2 1 4.3 0 0 1
"671" 1 0 2.9 0 0 1
"672" 2 0 2 0 1 1
"673" 2 0 3 0 0 1
"675" 1 0 3.7 0 0 1
"677" 3 2 2.7 0 0 1
"679" 4 1 7.8 1 1 0
"680" 2 0 3.5 1 1 1
"682" 3 0 5.3 1 0 1
"683" 1 0 3 1 0 0
"684" 2 1 7.3 0 0 1
"685" 2 0 7 1 0 0
"686" 2 0 6.3 1 0 0
"688" 3 1 3.3 1 1 1
"692" 2 2 2.4 0 0 1
"693" 3 2 2.4 0 1 1
"694" 3 1 3 0 0 0
"696" 3 0 2.7 0 0 0
"697" 1 1 4.4 0 1 0
"698" 2 2 4.3 0 0 1
"699" 3 0 4.1 0 1 1
"700" 3 0 3.3 0 1 0
"701" 2 0 3.4 0 0 1
"702" 2 2 6.9 0 0 1
"703" 1 2 3.3 0 0 1
"704" 3 0 2.7 0 0 0
"705" 3 2 7.2 0 1 0
"706" 2 0 3.2 0 0 1
"707" 1 1 3.8 0 0 1
"709" 4 2 6.3 0 0 1
"710" 1 2 5.1 0 1 1
"711" 2 1 6.9 0 0 0
"712" 4 2 2.4 0 0 1
"714" 2 1 3 1 0 0
"715" 3 2 7.1 1 0 1
"718" 1 0 2.2 1 0 1
"720" 2 0 4.4 1 1 1
"721" 1 2 5.8 1 0 1
"722" 1 0 3 1 1 1
"723" 3 2 3.8 0 1 1
"724" 3 0 3.3 0 1 0
"725" 1 0 2.8 0 0 1
"726" 2 0 6 0 1 1
"727" 1 0 5.4 0 0 1
"728" 1 1 2.7 0 0 1
"729" 3 2 3.6 0 1 0
"731" 0 0 2.9 0 1 1
"732" 2 1 2.5 0 1 0
"733" 2 1 4 0 0 1
"734" 3 2 6.8 0 1 0
"735" 3 0 2.3 0 1 1
"736" 1 0 3.4 0 0 1
"737" 2 2 8.1 0 0 0
"739" 3 2 4.4 0 0 0
"740" 2 2 2.4 0 1 1
"741" 1 2 3.1 0 0 1
"742" 1 2 6.9 0 1 1
"743" 2 1 2 0 0 0
"746" 2 2 3.2 0 1 1
"747" 1 0 2.7 0 0 1
"748" 4 1 3.7 1 1 1
"749" 3 0 3.4 1 0 1
"750" 3 1 5.2 0 0 0
"751" 2 0 4.2 1 1 1
"752" 2 0 6.7 1 0 0
"753" 3 2 2.7 1 0 1
"754" 1 0 4.5 1 0 1
"755" 3 0 4.4 1 0 1
"756" 3 0 6.6 1 1 0
"758" 3 0 4.7 0 0 0
"759" 2 1 5.2 1 0 0
"763" 3 1 2.8 0 1 0
"764" 3 0 5.7 0 0 1
"766" 2 0 3.5 0 1 0
"767" 2 0 2.9 0 0 1
"768" 2 0 1.8 0 1 0
"769" 2 1 4.7 0 1 1
"770" 2 1 4.9 0 1 1
"771" 2 2 2.2 0 0 1
"772" 2 2 6.6 0 0 0
"773" 4 2 7.5 0 0 1
"774" 2 1 2.7 0 0 1
"775" 1 0 4.1 0 0 1
"776" 1 1 1.8 0 0 0
"777" 1 0 4.3 0 0 1
"778" 3 1 2.8 1 0 1
"779" 3 1 1.9 1 1 0
"780" 3 1 4.6 1 1 0
"781" 3 2 2.9 1 0 1
"782" 3 0 3.7 0 1 1
"783" 2 0 5.1 0 0 0
"784" 4 2 3.2 0 0 0
"785" 2 0 4.1 1 1 1
"787" 2 1 4.4 1 0 1
"788" 2 1 3 0 0 1
"789" 3 0 4.7 0 0 1
"791" 3 2 7.8 0 1 1
"792" 3 1 5.6 0 1 0
"793" 3 1 3.5 0 1 1
"794" 3 1 3.1 0 0 1
"795" 1 0 6 0 1 1
"796" 1 1 4.6 0 1 1
"797" 2 2 7.3 0 1 0
"798" 2 2 3.7 0 0 1
"799" 2 0 1.9 0 0 1
"800" 1 0 8 0 0 1
"801" 2 2 4.3 0 0 1
"802" 2 2 3.1 0 1 0
"803" 2 2 6.7 0 1 1
"804" 1 2 3 0 1 1
"806" 4 2 4.1 0 0 1
"809" 3 0 4 1 1 1
"810" 2 0 4.2 1 1 1
"811" 1 1 3.3 1 0 1
"813" 2 0 2.5 0 1 1
"814" 2 1 1.9 0 1 1
"815" 1 1 5.1 0 1 1
"816" 2 1 2.4 1 1 1
"817" 1 0 3.3 1 0 0
"818" 3 2 4.1 1 0 1
"819" 3 2 3.1 0 0 1
"821" 4 2 5.8 1 0 1
"822" 2 1 4.2 0 1 1
"823" 4 2 8.1 0 0 0
"824" 2 1 2.8 0 1 0
"825" 3 2 3.6 0 0 1
"826" 3 2 2.7 0 1 1
"827" 2 0 8.3 0 0 1
"828" 3 2 4.5 0 1 1
"830" 3 2 6.4 0 0 0
"832" 2 0 3 0 0 0
"833" 2 0 3.6 0 1 1
"834" 1 2 7.6 0 0 0
"835" 4 2 3.7 0 1 1
"836" 3 0 6.6 0 1 0
"837" 2 2 6.1 0 0 0
"840" 2 0 7 0 0 1
"845" 2 1 2.9 1 1 1
"846" 3 2 4.8 1 0 1
"849" 3 0 2 0 1 0
"851" 1 0 2.8 0 1 1
"853" 2 0 2 1 0 0
"854" 2 2 1.8 1 1 0
"855" 3 0 4.4 0 1 1
"856" 3 0 5.8 0 0 0
"857" 3 0 4.3 0 0 0
"859" 2 2 4.3 0 0 1
"860" 2 0 2.1 0 1 1
"861" 1 0 4.9 0 1 1
"862" 1 0 2.8 0 0 0
"863" 3 2 2.9 0 1 0
"864" 3 1 2.8 0 1 1
"865" 2 2 4.7 0 1 0
"866" 4 2 4.1 0 1 1
"867" 3 0 6.9 0 1 0
"868" 2 1 3.9 0 0 1
"869" 1 0 3.5 0 0 1
"870" 2 0 7 0 0 0
"871" 3 0 6.6 0 0 0
"872" 2 0 2.8 0 1 1
"873" 3 1 5.9 0 0 0
"874" 2 1 8.3 0 1 1
"875" 4 2 4.4 1 0 1
"876" 4 2 2.6 1 0 0
"877" 3 2 1.9 1 1 1
"878" 3 1 4.6 0 1 1
"879" 3 1 4 0 0 0
"880" 2 0 4.7 0 1 1
"881" 2 2 6.2 1 0 1
"882" 4 2 6.8 1 0 0
"883" 1 2 7 1 1 1
"884" 3 0 4.3 1 0 1
"885" 2 0 4 1 1 1
"886" 2 0 4.9 1 0 1
"887" 2 0 2.4 1 1 0
"888" 2 0 4 1 0 0
"891" 2 0 3.8 1 0 1
"892" 2 2 3.2 0 0 1
"893" 3 0 5.6 0 0 1
"894" 2 1 3.7 0 1 1
"895" 3 0 4.1 0 0 1
"896" 2 0 3.4 0 1 1
"897" 3 2 4.7 0 1 1
"899" 2 2 3.7 0 1 1
"900" 3 0 3.1 0 1 0
"901" 3 1 1.8 0 1 1
"902" 2 1 7.5 0 1 1
"903" 3 2 4.5 0 0 0
"904" 1 0 4 0 0 1
"905" 3 1 6.1 0 0 1
"906" 1 2 4 0 1 1
"907" 0 1 4.9 0 0 1
"908" 3 0 3.8 0 0 1
"909" 1 1 5.3 0 1 1
"910" 1 1 3.4 0 1 0
"911" 1 2 2.8 0 1 1
"912" 2 1 3.3 0 1 1
"913" 3 0 3.8 0 1 1
"915" 1 2 6 1 1 1
"916" 2 1 2.2 1 0 1
"917" 4 1 7.6 1 1 0
"918" 3 2 2.3 1 1 0
"919" 2 2 5.1 1 0 1
"920" 3 2 4.2 1 0 0
"921" 3 1 2.7 0 1 1
"923" 3 0 3.9 0 0 0
"925" 2 0 4.1 0 0 1
"926" 3 1 2.7 0 1 0
"928" 3 1 7.6 0 0 0
"929" 3 2 1.9 0 0 0
"930" 3 2 3.1 0 0 0
"931" 2 1 5.4 0 0 1
"932" 3 0 3.9 0 0 1
"933" 3 1 4.7 0 0 1
"934" 2 2 5.5 0 1 0
"935" 3 0 2.1 0 0 1
"936" 3 2 5 0 0 1
"937" 1 2 4.8 0 1 0
"938" 3 1 3.7 0 0 0
"939" 2 1 4.4 0 1 1
"940" 3 2 3 0 0 1
"941" 3 1 3 1 0 0
"942" 2 0 4 1 1 0
"943" 3 0 2.3 1 0 1
"944" 2 0 2.8 0 1 0
"946" 3 0 2.4 0 0 1
"947" 1 2 4.2 0 1 1
"948" 2 1 3.2 1 1 1
"949" 1 1 4.1 1 0 1
"950" 3 2 3.5 1 0 1
"951" 1 0 7.9 1 1 0
"952" 2 1 4 1 0 1
"953" 2 1 3.5 1 1 0
"954" 2 1 3.9 0 1 1
"955" 4 2 5.7 0 0 0
"956" 3 2 4.8 0 0 1
"957" 3 1 8 0 0 1
"958" 4 2 5 0 1 1
"960" 3 0 4.2 0 0 1
"961" 3 0 2.7 0 0 0
"963" 3 2 4.7 0 1 0
"964" 2 0 4.4 0 0 0
"965" 2 2 2.4 0 1 1
"966" 2 1 7.6 0 1 0
"969" 3 0 3.1 0 1 1
"970" 2 0 3.7 0 0 1
"971" 2 0 5.2 0 1 1
"972" 2 1 5 0 0 1
"973" 2 1 2.1 0 1 0
"974" 1 1 2.7 0 0 1
"975" 4 1 5.5 1 1 0
"976" 1 2 4.8 1 1 1
"977" 4 1 5.5 1 0 0
